Date,Type,Block,Street,Story,Area,Model  ,ResalePrice,Lease Age 
2022-09,5 ROOM,176B,PUNGGOL EAST,13 TO 15,110,Improved,520000,19
2022-09,5 ROOM,105A,PUNGGOL EAST,01 TO 03,110,Improved,575000,19.3
2022-09,5 ROOM,176C,PUNGGOL EAST,07 TO 09,110,Improved,590000,19
2022-09,3 ROOM,672A,PUNGGOL EAST,16 TO 18,65,Model A,398000,7
2022-09,4 ROOM,614A,PUNGGOL EAST,13 TO 15,92,Model A,550000,9.7
2022-09,4 ROOM,671A,PUNGGOL EAST,04 TO 06,90,Model A,530000,6.7
2022-09,4 ROOM,176B,PUNGGOL EAST,16 TO 18,90,Model A,468000,19
2022-09,4 ROOM,615B,PUNGGOL EAST,10 TO 12,92,Model A,572000,9.7
2022-09,4 ROOM,673A,PUNGGOL EAST,13 TO 15,90,Model A,497000,6.7
2022-09,3 ROOM,670C,PUNGGOL EAST,16 TO 18,68,Premium Apartment,430000,6.2
2022-09,4 ROOM,670B,PUNGGOL EAST,13 TO 15,93,Premium Apartment,490000,6.2
2022-09,4 ROOM,669B,PUNGGOL EAST,07 TO 09,93,Premium Apartment,565000,6.2
2022-09,4 ROOM,668A,PUNGGOL EAST,04 TO 06,93,Premium Apartment,600000,6.2
2022-09,4 ROOM,670B,PUNGGOL EAST,07 TO 09,93,Premium Apartment,540000,6.2
2022-09,5 ROOM,178,PUNGGOL EAST,07 TO 09,112,Premium Apartment,525000,18.8
2022-09,5 ROOM,117,PUNGGOL EAST,07 TO 09,112,Premium Apartment,565000,19.2
2022-09,5 ROOM,111,PUNGGOL EAST,16 TO 18,112,Premium Apartment,525000,19.1
2022-10,5 ROOM,104A,PUNGGOL EAST,10 TO 12,110,Improved,535000,19.3
2022-10,5 ROOM,103C,PUNGGOL EAST,07 TO 09,110,Improved,571000,19.3
2022-10,5 ROOM,104B,PUNGGOL EAST,07 TO 09,110,Improved,535000,19.3
2022-10,4 ROOM,615A,PUNGGOL EAST,04 TO 06,92,Model A,563000,9.8
2022-10,4 ROOM,615B,PUNGGOL EAST,01 TO 03,92,Model A,550000,9.8
2022-10,4 ROOM,673C,PUNGGOL EAST,13 TO 15,90,Model A,575000,6.8
2022-10,4 ROOM,673C,PUNGGOL EAST,07 TO 09,90,Model A,520000,6.8
2022-10,4 ROOM,671B,PUNGGOL EAST,01 TO 03,90,Model A,560000,6.8
2022-10,4 ROOM,669B,PUNGGOL EAST,10 TO 12,93,Premium Apartment,552000,6.3
2022-10,4 ROOM,670A,PUNGGOL EAST,01 TO 03,93,Premium Apartment,585000,6.3
2022-10,4 ROOM,670B,PUNGGOL EAST,10 TO 12,93,Premium Apartment,545000,6.3
2022-10,4 ROOM,114,PUNGGOL EAST,07 TO 09,95,Premium Apartment,463000,19.2
2022-10,5 ROOM,668B,PUNGGOL EAST,07 TO 09,113,Premium Apartment,848000,6.3
2022-11,5 ROOM,103C,PUNGGOL EAST,07 TO 09,110,Improved,560000,19.3
2022-11,5 ROOM,107D,PUNGGOL EAST,07 TO 09,110,Improved,630000,19.6
2022-11,5 ROOM,107B,PUNGGOL EAST,10 TO 12,110,Improved,560000,19.6
2022-11,3 ROOM,672B,PUNGGOL EAST,04 TO 06,65,Model A,428000,6.8
2022-11,4 ROOM,671A,PUNGGOL EAST,07 TO 09,90,Model A,530000,6.8
2022-11,4 ROOM,673A,PUNGGOL EAST,13 TO 15,90,Model A,495000,6.8
2022-11,4 ROOM,615A,PUNGGOL EAST,16 TO 18,92,Model A,565000,9.8
2022-11,4 ROOM,104B,PUNGGOL EAST,01 TO 03,90,Model A,480000,19.4
2022-11,4 ROOM,615B,PUNGGOL EAST,07 TO 09,92,Model A,498000,9.8
2022-11,4 ROOM,614A,PUNGGOL EAST,07 TO 09,92,Model A,590000,10
2022-11,4 ROOM,671B,PUNGGOL EAST,04 TO 06,90,Model A,530000,6.8
2022-11,3 ROOM,670A,PUNGGOL EAST,07 TO 09,68,Premium Apartment,435000,6.3
2022-11,3 ROOM,670C,PUNGGOL EAST,07 TO 09,68,Premium Apartment,470000,6.3
2022-11,4 ROOM,116,PUNGGOL EAST,07 TO 09,94,Premium Apartment,460000,19.3
2022-11,5 ROOM,183,PUNGGOL EAST,01 TO 03,110,Premium Apartment,555000,19
2022-11,5 ROOM,193,PUNGGOL EAST,01 TO 03,110,Premium Apartment,583888,19
2022-11,5 ROOM,114,PUNGGOL EAST,07 TO 09,113,Premium Apartment,585000,19.3
2022-11,5 ROOM,668A,PUNGGOL EAST,07 TO 09,113,Premium Apartment,798888,6.3
2022-12,5 ROOM,176A,PUNGGOL EAST,04 TO 06,110,Improved,568000,19.3
2022-12,5 ROOM,103A,PUNGGOL EAST,13 TO 15,110,Improved,596000,19.5
2022-12,5 ROOM,107A,PUNGGOL EAST,10 TO 12,110,Improved,565000,19.8
2022-12,4 ROOM,673C,PUNGGOL EAST,10 TO 12,90,Model A,530000,6.8
2022-12,4 ROOM,614B,PUNGGOL EAST,10 TO 12,92,Model A,525000,10
2022-12,4 ROOM,673A,PUNGGOL EAST,10 TO 12,90,Model A,520000,7
2022-12,4 ROOM,615C,PUNGGOL EAST,13 TO 15,92,Model A,521000,10
2022-12,4 ROOM,614B,PUNGGOL EAST,13 TO 15,92,Model A,520000,10
2022-12,4 ROOM,176D,PUNGGOL EAST,10 TO 12,87,Model A,486000,19.3
2022-12,3 ROOM,670C,PUNGGOL EAST,04 TO 06,68,Premium Apartment,420000,6.3
2022-12,5 ROOM,183,PUNGGOL EAST,16 TO 18,110,Premium Apartment,570000,19
2022-12,5 ROOM,668B,PUNGGOL EAST,16 TO 18,113,Premium Apartment,745000,6.4
2022-01,3 ROOM,622B,PUNGGOL CENTRE,07 TO 09,69,Model A,411000,7.8
2022-01,4 ROOM,624B,PUNGGOL CENTRE,10 TO 12,94,Model A,510000,7.7
2022-01,4 ROOM,624B,PUNGGOL CENTRE,04 TO 06,94,Model A,526000,7.7
2022-01,4 ROOM,623A,PUNGGOL CENTRE,10 TO 12,94,Model A,500000,7.8
2022-01,4 ROOM,166A,PUNGGOL CENTRE,10 TO 12,95,Premium Apartment,440000,17.6
2022-01,4 ROOM,643,PUNGGOL CENTRE,16 TO 18,90,Premium Apartment,450000,17
2022-01,4 ROOM,160B,PUNGGOL CENTRE,07 TO 09,94,Premium Apartment,450000,17.6
2022-01,4 ROOM,160A,PUNGGOL CENTRE,04 TO 06,95,Premium Apartment,490000,17.7
2022-01,4 ROOM,647,PUNGGOL CENTRE,10 TO 12,90,Premium Apartment,440000,17
2022-01,4 ROOM,293,PUNGGOL CENTRE,07 TO 09,91,Premium Apartment,460000,19
2022-01,5 ROOM,162A,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,560000,17.6
2022-01,5 ROOM,299,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,483888,18.2
2022-01,5 ROOM,162B,PUNGGOL CENTRE,04 TO 06,114,Premium Apartment,560000,17.6
2022-01,5 ROOM,296,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,538000,18.2
2022-01,5 ROOM,165B,PUNGGOL CENTRE,04 TO 06,114,Premium Apartment,530000,17.5
2022-01,5 ROOM,652,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,560000,17
2022-01,5 ROOM,647,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,518000,17
2022-01,5 ROOM,299,PUNGGOL CENTRE,04 TO 06,110,Premium Apartment,550000,18.3
2022-01,5 ROOM,163B,PUNGGOL CENTRE,01 TO 03,114,Premium Apartment,600000,17.4
2022-01,5 ROOM,652,PUNGGOL CENTRE,16 TO 18,110,Premium Apartment,600000,17
2022-01,5 ROOM,649,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,524000,17
2022-01,5 ROOM,651,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,535000,17
2022-02,4 ROOM,601C,PUNGGOL CENTRE,04 TO 06,93,Model A,425000,9.5
2022-02,4 ROOM,622A,PUNGGOL CENTRE,04 TO 06,94,Model A,480000,7.8
2022-02,4 ROOM,623A,PUNGGOL CENTRE,13 TO 15,95,Model A,530000,7.8
2022-02,4 ROOM,652,PUNGGOL CENTRE,01 TO 03,91,Premium Apartment,430000,17
2022-02,4 ROOM,301A,PUNGGOL CENTRE,16 TO 18,93,Premium Apartment,545000,11.4
2022-02,4 ROOM,161A,PUNGGOL CENTRE,13 TO 15,95,Premium Apartment,475000,17.6
2022-02,5 ROOM,162A,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,570000,17.7
2022-02,5 ROOM,188,PUNGGOL CENTRE,16 TO 18,110,Premium Apartment,545000,17.8
2022-02,5 ROOM,162A,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,538000,17.7
2022-02,5 ROOM,647,PUNGGOL CENTRE,01 TO 03,110,Premium Apartment,536000,17
2022-02,5 ROOM,645,PUNGGOL CENTRE,04 TO 06,110,Premium Apartment,475000,17
2022-02,5 ROOM,649,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,580000,18
2022-02,5 ROOM,161A,PUNGGOL CENTRE,01 TO 03,114,Premium Apartment,503000,17.8
2022-03,3 ROOM,623B,PUNGGOL CENTRE,10 TO 12,69,Model A,428000,8
2022-03,4 ROOM,624B,PUNGGOL CENTRE,10 TO 12,95,Model A,528000,7.8
2022-03,4 ROOM,624C,PUNGGOL CENTRE,07 TO 09,94,Model A,538000,7.8
2022-03,4 ROOM,601D,PUNGGOL CENTRE,10 TO 12,94,Model A,522000,9.6
2022-03,4 ROOM,622B,PUNGGOL CENTRE,07 TO 09,95,Model A,512000,7.8
2022-03,4 ROOM,601B,PUNGGOL CENTRE,01 TO 03,94,Model A,528000,9.7
2022-03,4 ROOM,165A,PUNGGOL CENTRE,10 TO 12,95,Premium Apartment,432000,17.8
2022-03,4 ROOM,163B,PUNGGOL CENTRE,10 TO 12,94,Premium Apartment,497000,17.6
2022-03,4 ROOM,166A,PUNGGOL CENTRE,01 TO 03,94,Premium Apartment,452000,17.8
2022-03,5 ROOM,165A,PUNGGOL CENTRE,13 TO 15,114,Premium Apartment,540000,17.8
2022-03,5 ROOM,165B,PUNGGOL CENTRE,01 TO 03,114,Premium Apartment,595000,17.8
2022-03,5 ROOM,160B,PUNGGOL CENTRE,13 TO 15,114,Premium Apartment,578000,17.8
2022-04,3 ROOM,601B,PUNGGOL CENTRE,01 TO 03,70,Model A,415000,9.8
2022-04,4 ROOM,622A,PUNGGOL CENTRE,10 TO 12,94,Model A,538088,8
2022-04,4 ROOM,624B,PUNGGOL CENTRE,16 TO 18,95,Model A,540000,8
2022-04,4 ROOM,602C,PUNGGOL CENTRE,13 TO 15,93,Model A,522000,9.8
2022-04,4 ROOM,301B,PUNGGOL CENTRE,07 TO 09,93,Premium Apartment,558000,11.7
2022-04,4 ROOM,301B,PUNGGOL CENTRE,04 TO 06,93,Premium Apartment,605000,11.7
2022-04,5 ROOM,648,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,535000,17.2
2022-04,5 ROOM,647,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,575000,17.2
2022-04,5 ROOM,163A,PUNGGOL CENTRE,07 TO 09,114,Premium Apartment,590000,18
2022-04,5 ROOM,160B,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,610000,18
2022-04,5 ROOM,643,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,592000,17.3
2022-05,4 ROOM,602A,PUNGGOL CENTRE,04 TO 06,93,Model A,539000,9.8
2022-05,4 ROOM,296,PUNGGOL CENTRE,16 TO 18,91,Premium Apartment,488000,18.5
2022-05,5 ROOM,190,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,492000,18
2022-05,5 ROOM,161A,PUNGGOL CENTRE,04 TO 06,114,Premium Apartment,543000,18
2022-05,5 ROOM,294,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,515680,18.4
2022-06,3 ROOM,601D,PUNGGOL CENTRE,13 TO 15,70,Model A,458000,9.8
2022-06,4 ROOM,622C,PUNGGOL CENTRE,01 TO 03,94,Model A,518000,8.1
2022-06,4 ROOM,623B,PUNGGOL CENTRE,07 TO 09,94,Model A,535888,8.1
2022-06,4 ROOM,601D,PUNGGOL CENTRE,10 TO 12,93,Model A,530000,9.8
2022-06,4 ROOM,624C,PUNGGOL CENTRE,07 TO 09,94,Model A,568000,8.1
2022-06,4 ROOM,649,PUNGGOL CENTRE,16 TO 18,90,Premium Apartment,470000,17.3
2022-06,4 ROOM,303C,PUNGGOL CENTRE,10 TO 12,93,Premium Apartment,655000,11.8
2022-06,4 ROOM,161A,PUNGGOL CENTRE,07 TO 09,95,Premium Apartment,518000,18
2022-06,4 ROOM,298,PUNGGOL CENTRE,04 TO 06,92,Premium Apartment,498000,18.6
2022-06,4 ROOM,303B,PUNGGOL CENTRE,13 TO 15,93,Premium Apartment,485000,11.8
2022-06,4 ROOM,303C,PUNGGOL CENTRE,10 TO 12,93,Premium Apartment,512888,11.8
2022-06,5 ROOM,649,PUNGGOL CENTRE,04 TO 06,110,Premium Apartment,568000,17.3
2022-06,5 ROOM,165A,PUNGGOL CENTRE,01 TO 03,114,Premium Apartment,580000,18
2022-06,5 ROOM,652,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,545000,17.3
2022-06,5 ROOM,162A,PUNGGOL CENTRE,04 TO 06,114,Premium Apartment,580000,18
2022-07,3 ROOM,622A,PUNGGOL CENTRE,04 TO 06,69,Model A,415000,9
2022-07,3 ROOM,623B,PUNGGOL CENTRE,10 TO 12,69,Model A,430000,8.2
2022-07,4 ROOM,601B,PUNGGOL CENTRE,01 TO 03,93,Model A,485000,10
2022-07,4 ROOM,624B,PUNGGOL CENTRE,01 TO 03,94,Model A,585000,8.2
2022-07,4 ROOM,622B,PUNGGOL CENTRE,07 TO 09,94,Model A,533000,8.2
2022-07,4 ROOM,623A,PUNGGOL CENTRE,13 TO 15,94,Model A,540000,8.2
2022-07,4 ROOM,624A,PUNGGOL CENTRE,07 TO 09,95,Model A,580000,8.2
2022-07,4 ROOM,602B,PUNGGOL CENTRE,16 TO 18,93,Model A,525000,10
2022-07,4 ROOM,303A,PUNGGOL CENTRE,01 TO 03,93,Premium Apartment,565000,12
2022-07,4 ROOM,160A,PUNGGOL CENTRE,07 TO 09,95,Premium Apartment,520000,18.1
2022-07,4 ROOM,645,PUNGGOL CENTRE,10 TO 12,91,Premium Apartment,492000,17.4
2022-07,4 ROOM,293,PUNGGOL CENTRE,13 TO 15,91,Premium Apartment,550000,18.5
2022-07,5 ROOM,299,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,520000,18.7
2022-07,5 ROOM,649,PUNGGOL CENTRE,04 TO 06,110,Premium Apartment,530000,17.4
2022-07,5 ROOM,166A,PUNGGOL CENTRE,16 TO 18,114,Premium Apartment,575000,18.1
2022-07,5 ROOM,165B,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,555000,18.1
2022-07,5 ROOM,652,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,555880,17.4
2022-08,3 ROOM,601D,PUNGGOL CENTRE,13 TO 15,70,Model A,423000,10
2022-08,4 ROOM,624A,PUNGGOL CENTRE,04 TO 06,96,Model A,560000,9
2022-08,4 ROOM,624B,PUNGGOL CENTRE,16 TO 18,94,Model A,568000,8.3
2022-08,4 ROOM,624B,PUNGGOL CENTRE,13 TO 15,94,Model A,520000,8.3
2022-08,4 ROOM,602B,PUNGGOL CENTRE,10 TO 12,93,Model A,550000,10
2022-08,4 ROOM,624A,PUNGGOL CENTRE,04 TO 06,94,Model A,542000,8.3
2022-08,4 ROOM,601B,PUNGGOL CENTRE,10 TO 12,93,Model A,545000,10
2022-08,4 ROOM,165A,PUNGGOL CENTRE,13 TO 15,95,Premium Apartment,510000,19
2022-08,4 ROOM,297,PUNGGOL CENTRE,10 TO 12,97,Premium Apartment,516000,18.8
2022-08,4 ROOM,160A,PUNGGOL CENTRE,13 TO 15,95,Premium Apartment,488000,18.2
2022-08,4 ROOM,651,PUNGGOL CENTRE,10 TO 12,90,Premium Apartment,480000,17.5
2022-08,4 ROOM,299,PUNGGOL CENTRE,07 TO 09,91,Premium Apartment,490000,18.8
2022-08,5 ROOM,160A,PUNGGOL CENTRE,07 TO 09,114,Premium Apartment,520000,18.2
2022-08,5 ROOM,165A,PUNGGOL CENTRE,10 TO 12,114,Premium Apartment,615000,18.2
2022-08,5 ROOM,166B,PUNGGOL CENTRE,07 TO 09,114,Premium Apartment,555000,18.2
2022-08,5 ROOM,294,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,515000,18.7
2022-09,3 ROOM,623B,PUNGGOL CENTRE,04 TO 06,69,Model A,445000,8.3
2022-09,4 ROOM,601D,PUNGGOL CENTRE,13 TO 15,93,Model A,545000,10.1
2022-09,4 ROOM,601A,PUNGGOL CENTRE,04 TO 06,94,Model A,561888,10.1
2022-09,4 ROOM,623C,PUNGGOL CENTRE,04 TO 06,95,Model A,553000,8.3
2022-09,4 ROOM,624A,PUNGGOL CENTRE,07 TO 09,95,Model A,570000,8.3
2022-09,4 ROOM,161A,PUNGGOL CENTRE,13 TO 15,95,Premium Apartment,475000,18.3
2022-09,4 ROOM,295,PUNGGOL CENTRE,01 TO 03,91,Premium Apartment,488000,18.8
2022-09,4 ROOM,299,PUNGGOL CENTRE,16 TO 18,91,Premium Apartment,515000,18.8
2022-09,5 ROOM,295,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,580000,18.8
2022-09,5 ROOM,163B,PUNGGOL CENTRE,16 TO 18,114,Premium Apartment,613000,18.1
2022-09,5 ROOM,163A,PUNGGOL CENTRE,13 TO 15,114,Premium Apartment,610000,18.3
2022-09,5 ROOM,165A,PUNGGOL CENTRE,07 TO 09,114,Premium Apartment,640000,18.3
2022-09,5 ROOM,649,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,558000,17.6
2022-09,5 ROOM,646,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,640000,17.6
2022-09,5 ROOM,648,PUNGGOL CENTRE,16 TO 18,110,Premium Apartment,600000,17.6
2022-09,5 ROOM,162A,PUNGGOL CENTRE,04 TO 06,114,Premium Apartment,570000,18.3
2022-10,4 ROOM,622C,PUNGGOL CENTRE,07 TO 09,94,Model A,585000,8.4
2022-10,4 ROOM,624A,PUNGGOL CENTRE,04 TO 06,95,Model A,528888,8.4
2022-10,4 ROOM,303A,PUNGGOL CENTRE,13 TO 15,93,Premium Apartment,612000,12.2
2022-10,5 ROOM,163A,PUNGGOL CENTRE,13 TO 15,114,Premium Apartment,610000,18.3
2022-10,5 ROOM,296,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,620000,19
2022-10,5 ROOM,645,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,555000,17.7
2022-10,5 ROOM,165B,PUNGGOL CENTRE,01 TO 03,114,Premium Apartment,540000,18.3
2022-11,3 ROOM,623C,PUNGGOL CENTRE,07 TO 09,69,Model A,420000,8.5
2022-11,3 ROOM,601A,PUNGGOL CENTRE,07 TO 09,70,Model A,465000,10.3
2022-11,3 ROOM,602B,PUNGGOL CENTRE,07 TO 09,70,Model A,460000,10.3
2022-11,4 ROOM,624A,PUNGGOL CENTRE,01 TO 03,94,Model A,548000,8.4
2022-11,4 ROOM,601D,PUNGGOL CENTRE,04 TO 06,93,Model A,575000,10.2
2022-11,4 ROOM,303B,PUNGGOL CENTRE,07 TO 09,94,Premium Apartment,590000,12.3
2022-11,5 ROOM,649,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,610000,17.8
2022-11,5 ROOM,295,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,598100,19
2022-11,5 ROOM,651,PUNGGOL CENTRE,07 TO 09,110,Premium Apartment,622000,17.8
2022-12,3 ROOM,623B,PUNGGOL CENTRE,04 TO 06,69,Model A,450000,8.6
2022-12,3 ROOM,623A,PUNGGOL CENTRE,10 TO 12,69,Model A,460000,8.6
2022-12,4 ROOM,624A,PUNGGOL CENTRE,10 TO 12,94,Model A,600000,8.6
2022-12,4 ROOM,624C,PUNGGOL CENTRE,04 TO 06,94,Model A,583000,8.6
2022-12,4 ROOM,303A,PUNGGOL CENTRE,16 TO 18,93,Premium Apartment,610000,12.3
2022-12,4 ROOM,645,PUNGGOL CENTRE,04 TO 06,90,Premium Apartment,528000,17.8
2022-12,4 ROOM,652,PUNGGOL CENTRE,07 TO 09,90,Premium Apartment,525000,17.8
2022-12,4 ROOM,303B,PUNGGOL CENTRE,04 TO 06,93,Premium Apartment,605000,12.3
2022-12,5 ROOM,643,PUNGGOL CENTRE,01 TO 03,110,Premium Apartment,520000,17.8
2022-12,5 ROOM,297,PUNGGOL CENTRE,13 TO 15,110,Premium Apartment,550000,19.1
2022-12,5 ROOM,643,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,560000,17.8
2022-12,5 ROOM,186,PUNGGOL CENTRE,10 TO 12,110,Premium Apartment,588000,18.6
2022-01,5 ROOM,664A,PUNGGOL EAST,10 TO 12,110,Improved,655000,5.5
2022-01,5 ROOM,664A,PUNGGOL EAST,04 TO 06,110,Improved,680000,5.5
2022-01,5 ROOM,664A,PUNGGOL EAST,16 TO 18,110,Improved,662800,5.5
2022-01,5 ROOM,663A,PUNGGOL EAST,10 TO 12,110,Improved,633663,5.6
2022-01,3 ROOM,664A,PUNGGOL EAST,04 TO 06,65,Model A,400000,5.5
2022-01,3 ROOM,663A,PUNGGOL EAST,13 TO 15,65,Model A,420000,5.6
2022-01,3 ROOM,664A,PUNGGOL EAST,10 TO 12,65,Model A,396000,5.6
2022-01,3 ROOM,663A,PUNGGOL EAST,13 TO 15,65,Model A,377000,5.5
2022-01,3 ROOM,613C,PUNGGOL EAST,04 TO 06,68,Model A,390000,9.1
2022-01,4 ROOM,613D,PUNGGOL EAST,04 TO 06,93,Model A,460000,9
2022-01,4 ROOM,613B,PUNGGOL EAST,01 TO 03,93,Model A,453000,9
2022-01,4 ROOM,612B,PUNGGOL EAST,10 TO 12,93,Model A,505000,9.1
2022-01,4 ROOM,663A,PUNGGOL EAST,13 TO 15,90,Model A,495000,5.6
2022-01,4 ROOM,663B,PUNGGOL EAST,13 TO 15,90,Model A,510000,5.6
2022-01,4 ROOM,663C,PUNGGOL EAST,16 TO 18,90,Model A,506000,5.5
2022-01,4 ROOM,663A,PUNGGOL EAST,13 TO 15,90,Model A,455000,5.5
2022-01,4 ROOM,664A,PUNGGOL EAST,13 TO 15,90,Model A,500000,5.5
2022-01,4 ROOM,663A,PUNGGOL EAST,10 TO 12,90,Model A,475000,5.6
2022-01,4 ROOM,613D,PUNGGOL EAST,10 TO 12,93,Model A,500000,9.1
2022-01,4 ROOM,635B,PUNGGOL EAST,10 TO 12,91,Premium Apartment,475000,14
2022-01,4 ROOM,632A,PUNGGOL EAST,16 TO 18,92,Premium Apartment,505000,14
2022-01,4 ROOM,641A,PUNGGOL EAST,04 TO 06,91,Premium Apartment,448000,17
2022-01,4 ROOM,619C,PUNGGOL EAST,10 TO 12,93,Premium Apartment,518000,8.3
2022-01,4 ROOM,306D,PUNGGOL EAST,13 TO 15,93,Premium Apartment,545000,9.4
2022-01,4 ROOM,619C,PUNGGOL EAST,10 TO 12,95,Premium Apartment,510000,8.3
2022-01,4 ROOM,636A,PUNGGOL EAST,10 TO 12,91,Premium Apartment,495000,14
2022-01,4 ROOM,667A,PUNGGOL EAST,13 TO 15,93,Premium Apartment,535000,5.8
2022-01,4 ROOM,678A,PUNGGOL EAST,01 TO 03,93,Premium Apartment,565000,5.2
2022-01,4 ROOM,618D,PUNGGOL EAST,10 TO 12,93,Premium Apartment,585000,8.3
2022-01,4 ROOM,679A,PUNGGOL EAST,07 TO 09,93,Premium Apartment,520100,5.2
2022-01,4 ROOM,678A,PUNGGOL EAST,10 TO 12,93,Premium Apartment,565000,5.3
2022-01,4 ROOM,632A,PUNGGOL EAST,04 TO 06,91,Premium Apartment,470000,14.1
2022-01,4 ROOM,617D,PUNGGOL EAST,01 TO 03,93,Premium Apartment,550000,8.3
2022-01,5 ROOM,666A,PUNGGOL EAST,10 TO 12,113,Premium Apartment,680000,5.8
2022-01,5 ROOM,676C,PUNGGOL EAST,04 TO 06,113,Premium Apartment,672888,5.3
2022-01,5 ROOM,678C,PUNGGOL EAST,16 TO 18,113,Premium Apartment,775000,5.3
2022-01,5 ROOM,666B,PUNGGOL EAST,04 TO 06,113,Premium Apartment,710000,5.8
2022-01,5 ROOM,667B,PUNGGOL EAST,01 TO 03,113,Premium Apartment,648000,6
2022-02,3 ROOM,663A,PUNGGOL EAST,07 TO 09,65,Model A,415000,5.7
2022-02,4 ROOM,613D,PUNGGOL EAST,04 TO 06,93,Model A,460000,9.1
2022-02,4 ROOM,612C,PUNGGOL EAST,04 TO 06,93,Model A,470000,9.1
2022-02,4 ROOM,664B,PUNGGOL EAST,13 TO 15,90,Model A,540000,5.6
2022-02,4 ROOM,612D,PUNGGOL EAST,01 TO 03,93,Model A,535000,9.1
2022-02,4 ROOM,612C,PUNGGOL EAST,13 TO 15,93,Model A,510000,9.1
2022-02,4 ROOM,663A,PUNGGOL EAST,16 TO 18,90,Model A,473000,5.6
2022-02,4 ROOM,664B,PUNGGOL EAST,13 TO 15,90,Model A,520000,5.7
2022-02,4 ROOM,664B,PUNGGOL EAST,16 TO 18,90,Model A,520000,5.7
2022-02,4 ROOM,612B,PUNGGOL EAST,10 TO 12,93,Model A,565000,9.2
2022-02,4 ROOM,666A,PUNGGOL EAST,01 TO 03,93,Premium Apartment,488000,6
2022-02,4 ROOM,679B,PUNGGOL EAST,16 TO 18,93,Premium Apartment,498000,5.3
2022-02,4 ROOM,665C,PUNGGOL EAST,13 TO 15,93,Premium Apartment,570000,6
2022-02,4 ROOM,676D,PUNGGOL EAST,16 TO 18,93,Premium Apartment,598000,5.3
2022-02,4 ROOM,632A,PUNGGOL EAST,16 TO 18,91,Premium Apartment,498000,14.1
2022-02,4 ROOM,677A,PUNGGOL EAST,10 TO 12,93,Premium Apartment,580000,5.3
2022-02,4 ROOM,617A,PUNGGOL EAST,13 TO 15,93,Premium Apartment,510000,8.3
2022-02,4 ROOM,636A,PUNGGOL EAST,16 TO 18,91,Premium Apartment,428000,14.1
2022-02,4 ROOM,665B,PUNGGOL EAST,07 TO 09,93,Premium Apartment,585000,6
2022-02,4 ROOM,665A,PUNGGOL EAST,13 TO 15,93,Premium Apartment,573000,6
2022-02,4 ROOM,617B,PUNGGOL EAST,07 TO 09,93,Premium Apartment,575000,9
2022-02,4 ROOM,638C,PUNGGOL EAST,10 TO 12,91,Premium Apartment,430000,17.1
2022-02,4 ROOM,637B,PUNGGOL EAST,13 TO 15,90,Premium Apartment,448000,17.1
2022-02,5 ROOM,665A,PUNGGOL EAST,04 TO 06,113,Premium Apartment,690000,6
2022-02,5 ROOM,618B,PUNGGOL EAST,01 TO 03,118,Premium Apartment,763500,8.3
2022-02,5 ROOM,618B,PUNGGOL EAST,07 TO 09,113,Premium Apartment,678000,8.4
2022-02,5 ROOM,642D,PUNGGOL EAST,07 TO 09,110,Premium Apartment,523000,17
2022-03,3 ROOM,663A,PUNGGOL EAST,10 TO 12,65,Model A,407000,5.7
2022-03,3 ROOM,663A,PUNGGOL EAST,07 TO 09,65,Model A,386000,5.7
2022-03,3 ROOM,664A,PUNGGOL EAST,13 TO 15,65,Model A,412888,5.7
2022-03,4 ROOM,664A,PUNGGOL EAST,10 TO 12,90,Model A,503000,5.7
2022-03,4 ROOM,663C,PUNGGOL EAST,16 TO 18,90,Model A,515000,5.7
2022-03,4 ROOM,664B,PUNGGOL EAST,13 TO 15,90,Model A,505000,5.7
